iter	Logloss
0	0.6819965241
1	0.670302439
2	0.6592274844
3	0.6484550581
4	0.6373768985
5	0.6288843721
6	0.6191768559
7	0.6112991403
8	0.6013986248
9	0.5920166991
10	0.5848491791
11	0.5770722132
12	0.5687422382
13	0.5600885191
14	0.5526769629
15	0.5455067952
16	0.5386223641
17	0.5318220304
18	0.5257361425
19	0.5192745679
20	0.5126708566
21	0.5063396436
22	0.5006685649
23	0.4949381928
24	0.4887707157
25	0.4840464831
26	0.4796347771
27	0.4742836451
28	0.4698040758
29	0.464856814
30	0.4599688804
31	0.4553345632
32	0.4510960339
33	0.4467703414
34	0.4432594613
35	0.4393900693
36	0.4354039719
37	0.4315837355
38	0.427991719
39	0.4242803147
40	0.4210396684
41	0.4182261637
42	0.4152725429
43	0.4120657586
44	0.4088231614
45	0.4053890281
46	0.4026296955
47	0.3996441288
48	0.3973942587
49	0.394709966
50	0.3921083773
51	0.3895012494
52	0.387338438
53	0.3848335231
54	0.3825555044
55	0.3803678887
56	0.3783905865
57	0.3766792681
58	0.3742640944
59	0.3723882039
60	0.3702177283
61	0.3684386859
62	0.3666145638
63	0.3651780429
64	0.3633998017
65	0.3615864793
66	0.3600101558
67	0.3581348228
68	0.3563998497
69	0.3547264343
70	0.3532635414
71	0.3517182929
72	0.3502863705
73	0.3488297136
74	0.3475274212
75	0.3460224448
76	0.3443839365
77	0.3434231205
78	0.3423182866
79	0.3412135224
80	0.3399252696
81	0.3387762618
82	0.3376142249
83	0.3365456916
84	0.3353386796
85	0.3342195276
86	0.3331301267
87	0.3321071956
88	0.3312338215
89	0.330139404
90	0.3291429842
91	0.3280140428
92	0.3270461548
93	0.3259668916
94	0.3250715003
95	0.324248327
96	0.3233046858
97	0.3223193443
98	0.3216223172
99	0.3207671283
100	0.3199425615
101	0.3191616459
102	0.3183278123
103	0.3175763692
104	0.3166967592
105	0.315874422
106	0.3148541734
107	0.313905655
108	0.3130164647
109	0.3122313338
110	0.3115938788
111	0.3108651845
112	0.3102418734
113	0.3094322867
114	0.3089020611
115	0.3081804737
116	0.3077121891
117	0.3068474199
118	0.3060294025
119	0.305480539
120	0.3047050581
121	0.3040865197
122	0.3036276761
123	0.3030829582
124	0.3025339205
125	0.3021707056
126	0.3015931012
127	0.3011025555
128	0.3006582042
129	0.3000984366
130	0.2997150857
131	0.2991940572
132	0.2986554011
133	0.2981044473
134	0.2976502022
135	0.2968990378
136	0.2965150946
137	0.2960427341
138	0.2955506207
139	0.2952019678
