iter	Passed	Remaining
0	22	22191
1	75	37783
2	112	37287
3	126	31536
4	135	27061
5	145	24152
6	155	22069
7	164	20419
8	173	19128
9	181	17969
10	191	17231
11	205	16917
12	220	16724
13	237	16694
14	248	16319
15	255	15721
16	262	15173
17	269	14711
18	276	14291
19	283	13902
20	305	14264
21	314	13973
22	328	13944
23	339	13796
24	347	13563
25	354	13289
26	361	13010
27	367	12753
28	374	12543
29	381	12337
30	388	12153
31	397	12010
32	404	11858
33	413	11758
34	421	11622
35	431	11564
36	439	11445
37	446	11307
38	453	11178
39	460	11052
40	467	10939
41	473	10797
42	479	10660
43	485	10554
44	492	10448
45	498	10345
46	503	10219
47	517	10264
48	566	10991
49	572	10884
50	578	10768
51	584	10660
52	591	10567
53	598	10478
54	605	10399
55	614	10358
56	669	11070
57	695	11301
58	710	11329
59	718	11260
60	725	11168
61	734	11117
62	751	11181
63	762	11150
64	774	11143
65	781	11059
66	787	10959
67	793	10877
68	803	10842
69	811	10782
70	817	10702
71	826	10650
72	838	10645
73	848	10623
74	859	10594
75	865	10518
76	871	10446
77	878	10384
78	884	10317
79	890	10241
80	896	10173
81	903	10112
82	909	10050
83	915	9978
84	920	9907
85	927	9861
86	939	9858
87	953	9879
88	968	9917
89	980	9911
90	988	9872
91	995	9820
92	1027	10021
93	1034	9967
94	1044	9953
95	1053	9915
96	1060	9876
97	1069	9843
98	1077	9809
99	1086	9778
100	1094	9745
101	1103	9714
102	1111	9681
103	1119	9645
104	1127	9612
105	1136	9584
106	1145	9564
107	1164	9619
108	1181	9657
109	1197	9689
110	1208	9676
111	1215	9635
112	1221	9588
113	1228	9550
114	1235	9506
115	1241	9457
116	1268	9573
117	1280	9574
118	1288	9536
119	1295	9497
120	1301	9456
121	1308	9418
122	1316	9385
123	1323	9348
124	1329	9307
125	1335	9264
126	1341	9224
127	1348	9188
128	1356	9159
129	1369	9166
130	1381	9166
131	1390	9141
132	1397	9108
133	1403	9072
134	1410	9039
